,loanSqeNumber,reportingTime,target,bin,state,probs,lrPD
361624,F18Q20187769,202406,1.0,"(0.666, 0.885]",TX,0.7372922996748414,0.0
363890,F18Q20239097,202406,0.0,"(0.335, 0.666]",IL,0.36562145913504895,0.3249699950175767
366704,F18Q20292477,202406,1.0,"(0.885, 0.96]",IL,0.93691320851715,0.0
374701,F18Q30077834,202406,1.0,"(0.885, 0.96]",TX,0.9429929322968329,0.0
376251,F18Q30107487,202406,1.0,"(0.885, 0.96]",CA,0.9570513442359772,0.0
381597,F18Q30230489,202406,0.0,"(0.102, 0.335]",FL,0.3215747006351541,0.0682040830186075
393517,F18Q40124788,202406,0.0,"(0.102, 0.335]",FL,0.3056116294485293,0.0682040830186075
393738,F18Q40127992,202406,0.0,"(0.102, 0.335]",TX,0.12111090300580876,0.0682040830186075
397240,F18Q40201751,202406,1.0,"(0.96, 0.985]",IL,0.9610042588433996,0.7926571840426938
405327,F19Q10098408,202406,0.0,"(0.102, 0.335]",IL,0.12255227334461817,0.0682040830186075
405723,F19Q10107785,202406,0.0,"(0.000616, 0.102]",FL,0.03497928165220043,0.0021245706107615213
407385,F19Q10139503,202406,1.0,"(0.885, 0.96]",CA,0.9333432731728545,0.0
408610,F19Q10166464,202406,0.0,"(0.000616, 0.102]",IL,0.03329858541486635,0.0021245706107615213
410817,F19Q10211313,202406,1.0,"(0.885, 0.96]",CA,0.9178155130798259,0.0
415193,F19Q10278161,202406,0.0,"(0.335, 0.666]",TX,0.43917963537375193,0.3249699950175767
424565,F19Q20149127,202406,1.0,"(0.666, 0.885]",CA,0.7506047315686626,0.0
428898,F19Q20222641,202406,1.0,"(0.335, 0.666]",CA,0.4738338606286656,0.3249699950175767
446242,F19Q30090384,202406,0.0,"(0.102, 0.335]",FL,0.16296104432387712,0.0682040830186075
447154,F19Q30103864,202406,0.0,"(0.335, 0.666]",CA,0.35382787536273264,0.3249699950175767
451780,F19Q30174259,202406,0.0,"(0.000616, 0.102]",CA,0.049374557516314733,0.0021245706107615213
459468,F19Q30275990,202406,0.0,"(0.000616, 0.102]",FL,0.10139114215021872,0.0021245706107615213
468992,F19Q30405862,202406,1.0,"(0.666, 0.885]",CA,0.8435616458153179,0.0
480647,F19Q40034382,202406,1.0,"(0.885, 0.96]",CA,0.887638292406211,0.0
483301,F19Q40072545,202406,1.0,"(0.885, 0.96]",IL,0.9438731455503457,0.0
495598,F19Q40235669,202406,0.0,"(0.000616, 0.102]",FL,0.057051308352310114,0.0021245706107615213
